mmsi,timestamp,latitude,longitude,speed,course,status,ais_active,navigational_status,heading,rot
604969493,2026-03-02T00:56:00Z,-51.6035,85.6689,2.4,160.1,Under Way,True,6,215.3,-54.5
563249678,2026-01-12T18:14:00Z,-0.8849,-141.1505,7.3,14.4,Moored,False,3,269.6,-26.2
449459316,2026-01-22T01:21:00Z,75.2526,131.0147,0.4,82.2,At Anchor,True,0,47.4,-47.6
418169543,2026-08-31T00:02:00Z,19.1153,-149.7675,11.2,197.5,Under Way,False,11,316.7,102.0
479502357,2026-07-03T05:32:00Z,-11.1119,118.1572,4.0,207.6,At Anchor,True,14,120.6,70.8
306994240,2026-08-30T18:26:00Z,-6.3524,-97.078,28.7,54.9,Moored,False,11,306.4,81.2
771069098,2026-08-06T00:02:00Z,-25.5909,-31.9621,29.9,277.4,Under Way,False,14,89.1,-80.2
211548097,2026-05-29T03:54:00Z,74.5656,18.5948,8.0,337.9,Under Way,True,1,349.7,30.5
370219145,2026-09-14T15:28:00Z,24.7489,-35.4941,14.0,199.2,At Anchor,True,13,201.3,-105.9
619375900,2026-04-25T02:01:00Z,-88.019,-96.5973,16.2,13.0,Under Way,False,11,0.9,-10.9
796671313,2026-04-14T15:10:00Z,-89.4128,179.4445,17.5,16.7,At Anchor,True,14,0.1,24.4
443338863,2027-01-01T00:31:00Z,13.3321,-63.9132,29.7,198.5,At Anchor,True,4,247.8,72.6
409089660,2026-10-08T15:47:00Z,-72.3036,137.1552,21.4,357.2,Moored,False,8,31.9,-92.7
227501683,2026-11-18T09:03:00Z,75.3773,-50.1313,19.8,119.4,At Anchor,False,2,307.4,-4.1
641942797,2026-08-10T00:42:00Z,29.5511,-26.5369,27.7,51.0,Under Way,False,10,77.4,124.9
636613948,2026-12-16T10:47:00Z,37.8897,-141.875,22.4,337.0,Under Way,True,8,95.5,-1.9
790918169,2026-02-20T03:51:00Z,53.7205,-126.7119,25.4,86.2,Under Way,True,8,252.1,-111.6
413062848,2026-01-22T03:58:00Z,-75.7084,33.4275,8.4,190.1,Moored,True,4,138.6,-66.5
290000334,2026-08-15T21:33:00Z,77.0225,62.2178,0.6,211.4,Under Way,False,2,306.6,-29.8
489144334,2026-05-05T01:03:00Z,-57.36,176.1564,6.0,323.5,Moored,True,4,74.6,89.7
641942797,2026-05-14T05:10:00Z,-87.7968,-103.1902,5.5,199.6,At Anchor,False,9,193.8,56.5
443338863,2026-12-28T12:38:00Z,-69.0183,58.6194,4.6,27.8,At Anchor,True,8,21.1,35.6
355835421,2026-08-20T18:31:00Z,-16.7692,-116.9819,7.6,253.2,At Anchor,True,5,302.8,-100.1
226103089,2026-01-02T23:46:00Z,-62.7339,91.8853,5.7,238.4,Moored,True,1,132.2,6.5
499604556,2026-02-02T18:51:00Z,4.5525,79.6034,25.9,28.1,Under Way,False,10,151.1,-60.7
721604393,2026-05-05T00:04:00Z,-15.1812,40.7089,26.7,326.1,Moored,False,3,204.3,-92.9
433980731,2026-08-29T15:28:00Z,-54.1689,20.6648,17.2,151.7,At Anchor,True,8,330.9,97.5
777450460,2026-01-08T00:08:00Z,-59.3896,107.32,3.1,23.7,At Anchor,True,3,283.2,122.9
786527370,2026-10-05T07:27:00Z,-60.5376,-109.7815,0.7,237.3,Moored,False,0,212.9,-114.8
270127453,2026-01-13T10:48:00Z,-56.6176,147.732,27.4,315.0,At Anchor,True,8,91.7,-34.7
654243705,2026-01-16T00:32:00Z,42.7673,-139.2992,25.9,47.5,Under Way,False,3,13.3,-90.9
789472539,2026-07-25T11:48:00Z,-54.5192,-159.676,23.9,103.4,At Anchor,False,7,291.7,27.0
472597180,2026-05-22T16:08:00Z,82.8898,-66.8664,20.1,55.0,Under Way,True,12,13.3,82.8
664640837,2026-04-04T02:57:00Z,69.61,-102.7214,2.7,17.6,At Anchor,False,11,65.6,47.5
621733378,2026-01-01T22:51:00Z,6.6375,2.473,9.0,165.1,Under Way,True,7,136.2,-49.0
484698904,2026-05-24T01:21:00Z,51.5799,69.2598,7.5,302.7,Under Way,True,10,56.3,0.6
258157843,2026-12-22T21:18:00Z,31.3419,-128.4254,18.6,24.1,Moored,True,2,108.2,68.9
422236152,2026-11-27T05:07:00Z,-38.8264,-10.3346,14.4,244.9,Under Way,False,13,311.7,-52.7
412200014,2026-08-23T18:23:00Z,-14.5505,-50.4976,26.1,100.7,Moored,False,4,65.1,-11.6
753582834,2026-05-28T20:34:00Z,-61.8694,-1.9357,23.4,262.8,At Anchor,True,0,289.0,-53.9
511165374,2026-11-14T17:04:00Z,20.6371,91.1716,10.1,328.5,Moored,True,13,133.3,15.3
613718689,2026-07-19T13:55:00Z,-71.6475,65.9165,7.8,266.1,Moored,True,7,174.5,29.0
762178422,2026-06-11T00:39:00Z,-36.8373,48.9288,3.8,92.2,Under Way,False,14,89.9,0.0
335821955,2026-09-01T09:09:00Z,62.2462,-63.9681,21.3,75.0,At Anchor,False,9,312.5,-38.5
403492770,2026-09-07T11:03:00Z,78.8184,-121.7817,10.5,168.7,Moored,False,3,193.1,-54.4
254445689,2026-04-18T02:45:00Z,30.9913,10.6048,9.6,157.0,At Anchor,True,0,151.3,-42.6
667865493,2026-11-29T16:47:00Z,-13.8669,-126.9036,1.6,345.0,Moored,False,7,336.5,101.8
780410570,2026-05-30T19:00:00Z,-10.3047,61.9299,9.7,86.0,At Anchor,False,13,115.8,-62.2
588766776,2026-08-23T23:55:00Z,-19.6764,-162.0007,25.4,134.6,At Anchor,False,4,324.3,14.0
397348659,2026-05-24T01:07:00Z,18.7819,88.9777,25.6,77.3,At Anchor,False,0,303.6,39.0
484144611,2026-11-05T01:47:00Z,-89.4373,6.2614,0.7,57.8,Under Way,False,10,55.3,2.5
789983559,2026-03-10T00:35:00Z,-89.4634,109.0896,12.7,285.6,At Anchor,False,11,336.9,-115.9
302489810,2026-09-18T08:29:00Z,7.5993,159.6268,20.5,319.7,Moored,False,12,176.6,-49.1
300905246,2026-08-25T16:47:00Z,-3.284,-65.3149,22.2,217.7,Under Way,True,1,285.0,-83.3
723722389,2026-09-15T06:33:00Z,-84.3317,-42.2015,24.2,336.7,Under Way,False,4,339.9,45.3
231960753,2026-10-11T16:32:00Z,25.753,-78.5155,10.0,273.7,At Anchor,True,14,1.9,-103.8
653490597,2026-03-03T09:23:00Z,24.6352,-146.0696,24.6,142.8,Under Way,False,2,108.7,115.1
213287515,2026-06-03T10:06:00Z,-83.6272,171.4099,26.5,19.7,Under Way,True,12,90.8,-108.8
447432545,2026-09-17T00:33:00Z,14.9816,-64.8918,14.5,182.9,At Anchor,False,4,299.4,-108.9
202156040,2026-05-04T19:23:00Z,-55.6456,98.3561,0.3,318.9,Under Way,False,2,304.6,24.2
226809877,2026-09-19T02:31:00Z,-33.9635,-40.8147,23.5,164.9,Under Way,False,3,150.1,-89.1
479597234,2026-10-17T07:42:00Z,-64.5261,120.9167,17.8,128.7,Moored,True,0,116.9,-51.9
707000071,2026-06-03T07:06:00Z,-81.7337,-37.9418,27.9,341.1,Moored,True,7,70.5,-84.0
515300056,2026-12-15T13:12:00Z,87.3333,-157.91,15.8,113.9,Moored,False,12,291.0,61.4
583562034,2026-07-20T20:40:00Z,-52.0485,-54.3848,24.3,79.4,At Anchor,True,2,58.2,-103.7
208492908,2026-03-05T01:59:00Z,13.274,-13.9639,3.0,145.4,Moored,False,2,233.8,-106.9
274897537,2026-07-22T11:04:00Z,-36.7267,-144.99,29.0,201.7,At Anchor,True,12,145.5,12.5
279762531,2026-08-24T12:09:00Z,-87.8601,42.5348,27.7,83.7,Under Way,True,4,293.8,-35.4
404128445,2026-03-03T16:07:00Z,53.1503,100.6055,21.2,42.3,Moored,True,3,34.5,67.6
646035868,2026-05-10T22:06:00Z,87.7562,55.9745,0.8,186.4,Under Way,False,14,324.3,-119.1
748359141,2026-10-25T15:11:00Z,57.9074,156.3609,5.2,51.0,At Anchor,False,5,335.6,-41.4
254059131,2026-06-04T18:55:00Z,-66.1761,-122.4147,12.8,87.8,At Anchor,True,2,165.0,93.7
289890030,2026-07-31T13:20:00Z,-86.9217,136.3837,12.4,353.0,Under Way,False,12,101.2,19.1
648657172,2026-07-16T14:53:00Z,51.0935,-153.5491,17.7,220.8,At Anchor,True,13,206.2,-6.7
