mmsi,mean_frequency,std_frequency,mean_bandwidth,mean_power,mean_signal_strength,mean_noise_level,mean_snr,mean_lat,mean_lon,nb_signatures,name,flag,type,mean_cfo_hz
200698187,162.025055,5.465e-05,25.08,2.0,-79.4,-126.0,46.6,-11.77923333333333,-81.08978333333333,6,NAVIRE-8187,USA,Fishing Vessel,54.7
201837657,162.025021,2.093e-05,24.9,2.0,-80.0,-126.0,46.1,-25.691983333333337,-35.93328333333333,6,NAVIRE-7657,Marshall Islands,Fishing Vessel,20.9
202156040,161.974945,5.458e-05,24.8,12.5,-73.2,-126.0,52.8,-28.2041,20.287166666666668,3,NAVIRE-6040,Malta,Passenger Ship,-54.6
203295373,162.025082,8.172e-05,24.87,12.5,-73.8,-126.0,52.2,-16.789949999999997,-45.778475,4,NAVIRE-5373,Denmark,Bulk Carrier,81.7
204111655,162.025058,5.806e-05,25.07,12.5,-71.8,-126.0,54.2,-6.89216,-55.951260000000005,5,NAVIRE-1655,Bahamas,Bulk Carrier,58.1
205804175,162.024964,3.647e-05,25.03,2.0,-79.8,-126.0,46.2,-13.608250000000004,-28.698783333333328,6,NAVIRE-4175,Marshall Islands,Fishing Vessel,-36.5
205927097,162.025024,2.39e-05,24.44,2.0,-81.6,-126.0,44.4,-73.8226,87.2638,1,NAVIRE-7097,France,Fishing Vessel,23.9
206220320,161.974912,8.838e-05,25.16,2.0,-79.6,-126.0,46.4,74.6459,-122.2249,1,NAVIRE-0320,Singapore,Fishing Vessel,-88.4
206352442,161.975004,4.26e-06,25.26,12.5,-71.3,-126.0,54.7,-5.1128333333333345,-88.97853333333335,3,NAVIRE-2442,USA,Bulk Carrier,4.3
207068046,161.975114,0.00011355,24.92,12.5,-72.8,-126.0,53.2,-4.866949999999999,-21.8717375,8,NAVIRE-8046,France,Bulk Carrier,113.5
207618219,162.024929,7.089e-05,25.0,2.0,-79.2,-126.0,46.8,-31.302925,38.47605,4,NAVIRE-8219,USA,Fishing Vessel,-70.9
208204205,162.025041,4.08e-05,24.79,12.5,-71.6,-126.0,54.5,-56.25926,-34.5664,5,NAVIRE-4205,Panama,General Cargo,40.8
208289492,161.974957,4.329e-05,25.39,12.5,-73.1,-126.0,52.9,20.361489999999996,4.779099999999999,10,NAVIRE-9492,USA,Bulk Carrier,-43.3
208492908,161.975123,0.00012251,25.12,2.0,-79.5,-126.0,46.5,-46.17085,-68.038375,4,NAVIRE-2908,Marshall Islands,Fishing Vessel,122.5
208551916,161.974996,4.4e-06,24.97,12.5,-72.3,-126.0,53.7,-3.7942428571428577,25.103242857142853,7,NAVIRE-1916,China,Bulk Carrier,-4.4
209428274,161.974947,5.303e-05,25.32,12.5,-73.3,-126.0,52.7,7.245288888888889,38.12947777777778,9,NAVIRE-8274,Singapore,Passenger Ship,-53.0
209766902,161.974932,6.77e-05,24.78,12.5,-73.0,-126.0,53.0,-16.685724999999998,32.024837500000004,8,NAVIRE-6902,Singapore,Tanker,-67.7
210027019,162.024954,4.586e-05,25.37,12.5,-73.2,-126.0,52.9,-18.111433333333338,-57.36346666666666,3,NAVIRE-7019,USA,General Cargo,-45.9
210044819,162.025097,9.665e-05,24.41,12.5,-72.4,-126.0,53.6,38.5106,-30.861733333333337,3,NAVIRE-4819,Malta,Container Ship,96.7
211239944,161.975061,6.12e-05,25.57,12.5,-72.9,-126.0,53.1,64.149,-111.2609,1,NAVIRE-9944,Singapore,Tanker,61.2
211394760,161.974933,6.719e-05,24.9,12.5,-72.4,-126.0,53.6,11.7566,0.5950249999999997,4,NAVIRE-4760,Marshall Islands,Passenger Ship,-67.2
211548097,162.025052,5.224e-05,24.82,12.5,-73.4,-126.0,52.6,-3.3207400000000007,-63.07732,5,NAVIRE-8097,China,Passenger Ship,52.2
211617904,161.975135,0.00013451,25.01,12.5,-73.4,-126.0,52.6,8.628124999999997,25.218987500000004,8,NAVIRE-7904,Bahamas,Passenger Ship,134.5
212186950,161.974946,5.403e-05,24.7,2.0,-80.6,-126.0,45.4,-29.271366666666665,-10.4167,6,NAVIRE-6950,Denmark,Fishing Vessel,-54.0
213287515,162.025037,3.66e-05,24.81,12.5,-71.9,-126.0,54.1,-46.16603333333333,-10.7716,3,NAVIRE-7515,Panama,Passenger Ship,36.6
213704539,162.024904,9.573e-05,25.02,12.5,-73.3,-126.0,52.7,43.9062,29.207175,4,NAVIRE-4539,Malta,Container Ship,-95.7
213740252,161.974821,0.00017854,24.81,12.5,-72.9,-126.0,53.1,34.4798,43.522175,4,NAVIRE-0252,Panama,Tanker,-178.5
214748253,162.025025,2.518e-05,24.96,12.5,-72.1,-126.0,53.9,-7.72482857142857,1.9062142857142863,7,NAVIRE-8253,Denmark,Container Ship,25.2
216417532,161.974908,9.207e-05,25.05,12.5,-72.8,-126.0,53.2,-46.12623333333334,39.78986666666666,3,NAVIRE-7532,China,Passenger Ship,-92.1
218251125,162.025096,9.606e-05,24.63,2.0,-80.5,-126.0,45.5,0.3441250000000018,24.550675,4,NAVIRE-1125,Malta,Fishing Vessel,96.1
220627024,161.97493,7.03e-05,25.35,2.0,-81.3,-126.0,44.7,41.242825,-50.984475,4,NAVIRE-7024,Singapore,Fishing Vessel,-70.3
221046878,161.974949,5.127e-05,24.68,2.0,-80.5,-126.0,45.5,-14.641883333333334,9.655049999999996,6,NAVIRE-6878,Panama,Fishing Vessel,-51.3
221716335,162.024934,6.556e-05,25.23,12.5,-72.0,-126.0,54.1,28.0108,-79.52813333333334,3,NAVIRE-6335,France,General Cargo,-65.6
222054856,161.975089,8.857e-05,24.84,12.5,-73.6,-126.0,52.4,-28.562849999999997,-25.550916666666662,6,NAVIRE-4856,USA,Passenger Ship,88.6
222807422,161.975104,0.00010381,25.17,12.5,-71.4,-126.0,54.7,-29.03735,-76.6041,2,NAVIRE-7422,Panama,Bulk Carrier,103.8
224255892,161.975136,0.00013593,25.58,12.5,-73.4,-126.0,52.6,0.3975000000000008,42.978449999999995,4,NAVIRE-5892,France,Bulk Carrier,135.9
224383026,161.974761,0.00023939,24.81,12.5,-72.0,-126.0,54.0,14.060057142857143,-27.80347142857143,7,NAVIRE-3026,USA,General Cargo,-239.4
224472298,161.974833,0.00016655,25.48,12.5,-73.6,-126.0,52.4,-32.131099999999996,-84.3248,7,NAVIRE-2298,France,Bulk Carrier,-166.5
224497350,161.974998,1.93e-06,25.25,12.5,-72.6,-126.0,53.4,20.463240000000003,-8.691279999999995,5,NAVIRE-7350,Denmark,Tanker,-1.9
224756004,161.974995,5.33e-06,25.23,2.0,-79.2,-126.0,46.8,20.52952,-121.3632,5,NAVIRE-6004,France,Fishing Vessel,-5.3
225377906,161.974889,0.00011052,25.14,12.5,-72.0,-126.0,54.0,38.8773,-145.2109,1,NAVIRE-7906,Singapore,Container Ship,-110.5
225857489,162.025063,6.279e-05,24.74,12.5,-72.6,-126.0,53.4,-78.01015000000001,-111.044,2,NAVIRE-7489,China,General Cargo,62.8
226103089,162.02499,1.026e-05,25.55,12.5,-73.5,-126.0,52.6,9.134533333333334,45.97025,6,NAVIRE-3089,Panama,Passenger Ship,-10.3
226542358,161.975117,0.00011673,25.1,12.5,-73.7,-126.0,52.3,-32.04688,36.780280000000005,5,NAVIRE-2358,USA,Bulk Carrier,116.7
226809877,162.025107,0.00010732,24.9,2.0,-81.2,-126.0,44.8,16.60125,-28.009025,4,NAVIRE-9877,Denmark,Fishing Vessel,107.3
227501683,162.025029,2.902e-05,25.08,12.5,-71.9,-126.0,54.2,-25.12228,30.018939999999997,5,NAVIRE-1683,Panama,Tanker,29.0
229631895,162.02514,0.00013977,25.33,12.5,-73.5,-126.0,52.5,-7.7835,-55.805475,4,NAVIRE-1895,France,Tanker,139.8
229818721,162.024979,2.108e-05,25.21,12.5,-73.0,-126.0,53.1,4.30064,88.46912,5,NAVIRE-8721,Panama,Tanker,-21.1
230810621,162.024844,0.00015634,25.51,12.5,-73.7,-126.0,52.3,-3.3751625,19.416924999999996,8,NAVIRE-0621,Malta,Tanker,-156.3
231663168,161.974915,8.541e-05,24.89,12.5,-72.2,-126.0,53.8,7.6209,-25.7887,1,NAVIRE-3168,Marshall Islands,Bulk Carrier,-85.4
231960753,162.024948,5.164e-05,25.17,12.5,-73.6,-126.0,52.5,3.717899999999999,-37.40873333333334,3,NAVIRE-0753,Marshall Islands,General Cargo,-51.6
232381331,162.025126,0.00012621,25.0,12.5,-72.2,-126.0,53.8,30.298599999999997,-20.806949999999997,2,NAVIRE-1331,USA,Passenger Ship,126.2
