name,flag,program,imo,mmsi,source,risk_category
MAR AZUL,Cuba,CUBA,,,OFAC SDN,sanction
SAMUDRA,dj,UK FCDO Sanctions,9337901,,OpenSanctions,sanction
GANGA,dj,UK FCDO Sanctions,9378620,,OpenSanctions,sanction
RU YI,pa,UK FCDO Sanctions,9345623,,OpenSanctions,sanction
FU HAI WAN,pa,UK FCDO Sanctions,9368235,,OpenSanctions,sanction
SURYA,dj,UK FCDO Sanctions,9388742,,OpenSanctions,sanction
JUN MA,tz,UK FCDO Sanctions,9353113,,OpenSanctions,sanction
GREAT JACOMBO,ga,UK FCDO Sanctions,9319703,,OpenSanctions,sanction
ACHILLES,pa,UK FCDO Sanctions,9368223,,OpenSanctions,sanction
NIKOLAY ZADORNOV,pa,UK FCDO Sanctions,9901037,,OpenSanctions,sanction
BAI LU,pa,UK FCDO Sanctions,9388780,,OpenSanctions,sanction
JUMBO,ga,UK FCDO Sanctions,9290335,,OpenSanctions,sanction
IONIA,ga,UK FCDO Sanctions,9310525,,OpenSanctions,sanction
EASTERN GLORY,ga,UK FCDO Sanctions,9319674,,OpenSanctions,sanction
CORUM,pa,UK FCDO Sanctions,9544281,,OpenSanctions,sanction
SAURI,pw,UK FCDO Sanctions,9266475,,OpenSanctions,sanction
UNITY,ru,UK FCDO Sanctions,9388792,,OpenSanctions,sanction
ARIA,bb,UK FCDO Sanctions,9397559,,OpenSanctions,sanction
ELECTRA,ga,UK FCDO Sanctions,9307815,,OpenSanctions,sanction
PROSPERITY,bb,UK FCDO Sanctions,9322956,,OpenSanctions,sanction
CHEN LU,pa,UK FCDO Sanctions,9404948,,OpenSanctions,sanction
CRIUS,pa,UK FCDO Sanctions,9251274,,OpenSanctions,sanction
VIKTOR TITOV,pa,UK FCDO Sanctions,9301407,,OpenSanctions,sanction
YURI SENKEVICH,pa,UK FCDO Sanctions,9301419,,OpenSanctions,sanction
VICTOR KONETSKY,pa,UK FCDO Sanctions,9301421,,OpenSanctions,sanction
PRAVASI,ga,UK FCDO Sanctions,9409467,,OpenSanctions,sanction
WILMA II,pa,UK FCDO Sanctions,9247431,,OpenSanctions,sanction
NOBLE,bb,UK FCDO Sanctions,9333400,,OpenSanctions,sanction
WISDOMS DAUGHTER,ga,UK FCDO Sanctions,9332834,,OpenSanctions,sanction
KIRA K,pa,UK FCDO Sanctions,9346720,,OpenSanctions,sanction
JI XIANG,pa,UK FCDO Sanctions,9384459,,OpenSanctions,sanction
JALDHARA,pa,UK FCDO Sanctions,9304825,,OpenSanctions,sanction
INDUS 1,pa,UK FCDO Sanctions,9360415,,OpenSanctions,sanction
INDRAS,pa,UK FCDO Sanctions,9314894,,OpenSanctions,sanction
FOTUO,lr,UK FCDO Sanctions,9293959,,OpenSanctions,sanction
HU PO,pa,UK FCDO Sanctions,9319686,,OpenSanctions,sanction
FIESTA,sl,UK FCDO Sanctions,9260823,,OpenSanctions,sanction
HERA,vn,UK FCDO Sanctions,9326720,,OpenSanctions,sanction
ENIGMA,bb,UK FCDO Sanctions,9333412,,OpenSanctions,sanction
ELISE,pw,UK FCDO Sanctions,9277747,,OpenSanctions,sanction
ELEPHANT,vn,UK FCDO Sanctions,9374868,,OpenSanctions,sanction
DAPHNE I,pa,UK FCDO Sanctions,9251456,,OpenSanctions,sanction
CORDELIA MOON,pa,UK FCDO Sanctions,9297888,,OpenSanctions,sanction
CLYDE NOBLE,pw,UK FCDO Sanctions,9282792,,OpenSanctions,sanction
CHEETAH II,pa,UK FCDO Sanctions,9222560,,OpenSanctions,sanction
TEMIRO,pw,UK FCDO Sanctions,9209972,,OpenSanctions,sanction
TREND,bb,UK FCDO Sanctions,9231509,,OpenSanctions,sanction
THYA,pa,UK FCDO Sanctions,9283289,,OpenSanctions,sanction
THEMIS,pa,UK FCDO Sanctions,9264570,,OpenSanctions,sanction
THANE,sm,UK FCDO Sanctions,9237228,,OpenSanctions,sanction
TENDUA,pa,UK FCDO Sanctions,9299862,,OpenSanctions,sanction
TAI SHAN,pa,UK FCDO Sanctions,9405057,,OpenSanctions,sanction
SPRIT,bb,UK FCDO Sanctions,9248796,,OpenSanctions,sanction
SOUL,gw,UK FCDO Sanctions,9263203,,OpenSanctions,sanction
SOFIA K,pa,UK FCDO Sanctions,9299123,,OpenSanctions,sanction
C VIKING,ck,UK FCDO Sanctions,9261657,,OpenSanctions,sanction
